测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT99999-d,仿真时间,double,s,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,仿真时间,1,S,BNSYS_SIMULATION_TIMER,
FZXT10001-b,主操作台急停,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,主操作台急停,,,,,,,
FZXT10001-b,主操作台急停,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10001_B,虚拟操作,XNCZ,OPC UA客户端,主操作台急停,,,,,,,
FZXT10002-b,变频柜急停,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,变频柜急停,,,,,,,
FZXT10002-b,变频柜急停,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10002_B,虚拟操作,XNCZ,OPC UA客户端,变频柜急停,,,,,,,
FZXT10003-b,FT005流量超限停机,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,FT005流量超限停机,,,,,,,
FZXT10003-b,FT005流量超限停机,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10003_B,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限停机,,,,,,,
FZXT10004-b,主控制柜急停,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,主控制柜急停,,,,,,,
FZXT10004-b,主控制柜急停,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10004_B,虚拟操作,XNCZ,OPC UA客户端,主控制柜急停,,,,,,,
FZXT10005-b,低压泵返回故障,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压泵返回故障,,,,,,,
FZXT10005-b,低压泵返回故障,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10005_B,虚拟操作,XNCZ,OPC UA客户端,低压泵返回故障,,,,,,,
FZXT10006-b,被试泵运行返回故障,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵运行返回故障,,,,,,,
